"'=== Task 1: Monthly late rate overall and by ship_mode (Apr-Jun 2025) ==='"
"=== Task 1: Monthly late rate overall and by ship_mode (Apr-Jun 2025) ==="
order_month,ship_mode,total_orders,late_rate
149,2,2024-01-20,0.8
150,12,2024-01-20,0.2
151,18,2024-01-20,0.571428571428571
152,15,2024-01-21,0.9
153,10,2024-01-21,0.666666666666667
154,13,2024-01-21,0.285714285714286
155,12,2024-01-21,0.166666666666667
156,12,2024-01-21,0.166666666666667
157,6,2024-01-21,0.444444444444444
158,7,2024-01-21,0.2
159,10,2024-01-21,0.666666666666667
160,20,2024-01-22,0.5
161,12,2024-01-22,0.25
162,12,2024-01-22,0.25
163,9,2024-01-22,0.375
164,3,2024-01-22,0.5
165,13,2024-01-22,0.375
166,5,2024-01-22,0.142857142857143
167,15,2024-01-23,0.909090909090909
168,8,2024-01-23,0.888888888888889
169,2,2024-01-23,0.666666666666667
170,10,2024-01-23,0.545454545454545
171,9,2024-01-23,0.444444444444444
172,16,2024-01-23,0.75
173,4,2024-01-23,0.0
174,15,2024-01-23,0.909090909090909
175,10,2024-01-24,0.583333333333333
176,17,2024-01-24,0.6
177,19,2024-01-24,0.75
178,1,2024-01-25,0.666666666666667
179,20,2024-01-25,0.555555555555556
180,19,2024-01-25,0.8
181,5,2024-01-25,0.25
182,19,2024-01-25,0.8
183,3,2024-01-25,0.555555555555556
184,7,2024-01-25,0.166666666666667
185,7,2024-01-25,0.166666666666667
186,7,2024-01-25,0.166666666666667
187,1,2024-01-25,0.666666666666667
188,18,2024-01-26,0.5
189,16,2024-01-26,0.777777777777778
190,9,2024-01-26,0.4
191,4,2024-01-26,0.333333333333333
192,16,2024-01-27,0.7
193,13,2024-01-27,0.444444444444444
194,11,2024-01-27,0.615384615384615
195,8,2024-01-27,0.9
196,10,2024-01-27,0.538461538461538
197,13,2024-01-27,0.444444444444444
198,13,2024-01-27,0.444444444444444
199,19,2024-01-27,0.571428571428571
200,6,2024-01-27,0.5
201,2,2024-01-28,0.571428571428571
202,3,2024-01-28,0.5
203,1,2024-01-28,0.625
204,7,2024-01-28,0.444444444444444
205,5,2024-01-28,0.333333333333333
206,19,2024-01-28,0.625
207,6,2024-01-29,0.454545454545455
208,1,2024-01-29,0.666666666666667
209,10,2024-01-29,0.5
210,11,2024-01-29,0.571428571428571
211,7,2024-01-29,0.5
212,4,2024-01-29,0.5
213,4,2024-01-29,0.5
214,15,2024-01-29,0.846153846153846
215,17,2024-01-30,0.545454545454545
216,6,2024-01-30,0.416666666666667
217,18,2024-01-30,0.555555555555556
218,13,2024-01-30,0.5
219,13,2024-01-30,0.5
220,11,2024-01-30,0.6
221,6,2024-01-30,0.416666666666667
222,4,2024-01-30,0.333333333333333
223,5,2024-01-30,0.4
224,1,2024-01-30,0.6
225,5,2024-01-30,0.4
226,6,2024-01-31,0.428571428571429
227,9,2024-01-31,0.454545454545455
228,3,2024-01-31,0.545454545454545
229,18,2024-01-31,0.5
230,3,2024-01-31,0.545454545454545
231,2,2024-01-31,0.5
232,3,2024-01-31,0.545454545454545
233,13,2024-01-31,0.571428571428571
234,5,2024-01-31,0.333333333333333
235,5,2024-01-31,0.333333333333333
236,5,2024-01-31,0.333333333333333
237,3,2024-01-31,0.545454545454545
238,13,2024-02-01,0.533333333333333
239,18,2024-02-01,0.454545454545455
240,5,2024-02-01,0.266666666666667
241,11,2024-02-01,0.5625
242,1,2024-02-01,0.636363636363636
243,16,2024-02-01,0.636363636363636
244,17,2024-02-01,0.583333333333333
245,6,2024-02-01,0.466666666666667
246,14,2024-02-01,0.5
247,16,2024-02-01,0.636363636363636
248,11,2024-02-02,0.588235294117647
249,18,2024-02-02,0.416666666666667
250,8,2024-02-02,0.909090909090909
251,14,2024-02-02,0.444444444444444
252,8,2024-02-02,0.909090909090909
253,13,2024-02-02,0.5
254,6,2024-02-03,0.5
255,10,2024-02-03,0.466666666666667
256,4,2024-02-03,0.428571428571429
257,7,2024-02-03,0.454545454545455
258,10,2024-02-04,0.4375
259,15,2024-02-04,0.785714285714286
260,8,2024-02-04,0.923076923076923
261,1,2024-02-04,0.666666666666667
262,7,2024-02-04,0.5
263,8,2024-02-04,0.923076923076923
264,20,2024-02-04,0.5
265,6,2024-02-04,0.529411764705882
266,17,2024-02-04,0.538461538461538
267,12,2024-02-04,0.4
268,7,2024-02-04,0.5
269,13,2024-02-04,0.470588235294118
270,11,2024-02-05,0.555555555555556
271,10,2024-02-05,0.411764705882353
272,18,2024-02-05,0.461538461538462
273,9,2024-02-05,0.416666666666667
274,5,2024-02-05,0.3125
275,16,2024-02-05,0.538461538461538
276,12,2024-02-05,0.454545454545455
277,2,2024-02-05,0.444444444444444
278,16,2024-02-06,0.571428571428571
279,5,2024-02-06,0.294117647058824
280,3,2024-02-06,0.533333333333333
281,13,2024-02-06,0.5
282,19,2024-02-06,0.555555555555556
283,7,2024-02-06,0.571428571428571
284,9,2024-02-06,0.461538461538462
285,20,2024-02-06,0.454545454545455
286,17,2024-02-06,0.5
287,5,2024-02-06,0.294117647058824
288,14,2024-02-06,0.5
289,13,2024-02-06,0.5
290,12,2024-02-06,0.416666666666667
291,12,2024-02-06,0.416666666666667
292,11,2024-02-07,0.578947368421053
293,15,2024-02-07,0.733333333333333
294,15,2024-02-07,0.733333333333333
295,7,2024-02-07,0.6
296,20,2024-02-07,0.416666666666667
297,19,2024-02-07,0.5
298,10,2024-02-07,0.388888888888889
299,2,2024-02-07,0.4
300,18,2024-02-07,0.5
301,1,2024-02-07,0.692307692307692
302,7,2024-02-08,0.625
303,12,2024-02-08,0.428571428571429
304,14,2024-02-08,0.545454545454545
305,19,2024-02-08,0.454545454545455
306,10,2024-02-08,0.421052631578947
307,15,2024-02-08,0.647058823529412
308,10,2024-02-08,0.421052631578947
309,12,2024-02-08,0.428571428571429
310,8,2024-02-08,0.866666666666667
311,10,2024-02-09,0.428571428571429
312,11,2024-02-09,0.55
313,9,2024-02-09,0.428571428571429
314,5,2024-02-09,0.315789473684211
315,9,2024-02-09,0.428571428571429
316,17,2024-02-10,0.466666666666667
317,12,2024-02-10,0.375
318,6,2024-02-10,0.555555555555556
319,1,2024-02-11,0.714285714285714
320,17,2024-02-11,0.5
321,14,2024-02-11,0.5
322,19,2024-02-11,0.416666666666667
323,20,2024-02-11,0.461538461538462
324,9,2024-02-12,0.4375
325,20,2024-02-12,0.428571428571429
326,4,2024-02-12,0.375
327,3,2024-02-12,0.5625
328,14,2024-02-12,0.538461538461538
329,2,2024-02-12,0.363636363636364
330,1,2024-02-12,0.733333333333333
331,13,2024-02-12,0.5
332,6,2024-02-12,0.526315789473684
333,13,2024-02-13,0.523809523809524
334,18,2024-02-13,0.466666666666667
335,13,2024-02-13,0.523809523809524
336,1,2024-02-13,0.6875
337,15,2024-02-13,0.611111111111111
338,13,2024-02-14,0.521739130434783
339,3,2024-02-14,0.588235294117647
340,4,2024-02-14,0.444444444444444
341,5,2024-02-14,0.35
342,4,2024-02-14,0.444444444444444
343,11,2024-02-14,0.571428571428571
344,14,2024-02-14,0.5
345,18,2024-02-14,0.5
346,2,2024-02-15,0.333333333333333
347,5,2024-02-15,0.380952380952381
348,6,2024-02-15,0.5
349,4,2024-02-15,0.545454545454545
350,10,2024-02-15,0.454545454545455
351,14,2024-02-16,0.533333333333333
352,11,2024-02-16,0.590909090909091
353,11,2024-02-16,0.590909090909091
354,11,2024-02-16,0.590909090909091
355,8,2024-02-16,0.8125
356,16,2024-02-16,0.6
357,5,2024-02-16,0.363636363636364
358,20,2024-02-17,0.466666666666667
359,12,2024-02-17,0.411764705882353
360,9,2024-02-17,0.411764705882353
361,3,2024-02-17,0.611111111111111
362,13,2024-02-17,0.5
363,1,2024-02-17,0.647058823529412
364,1,2024-02-17,0.647058823529412
365,16,2024-02-18,0.625
366,19,2024-02-18,0.461538461538462
367,11,2024-02-18,0.6
368,1,2024-02-18,0.684210526315789
369,4,2024-02-18,0.5
370,5,2024-02-18,0.391304347826087
371,4,2024-02-18,0.5
372,13,2024-02-18,0.52
373,5,2024-02-18,0.391304347826087
374,16,2024-02-18,0.625
375,16,2024-02-18,0.625
376,18,2024-02-18,0.529411764705882
377,5,2024-02-18,0.391304347826087
378,11,2024-02-19,0.576923076923077
379,17,2024-02-19,0.470588235294118
380,8,2024-02-19,0.823529411764706
381,17,2024-02-19,0.470588235294118
382,16,2024-02-19,0.578947368421053
383,19,2024-02-19,0.5
384,16,2024-02-20,0.6
385,19,2024-02-20,0.466666666666667
386,9,2024-02-20,0.444444444444444
387,14,2024-02-20,0.5625
388,7,2024-02-20,0.588235294117647
389,8,2024-02-21,0.833333333333333
390,19,2024-02-21,0.4375
391,15,2024-02-21,0.578947368421053
392,1,2024-02-21,0.7
393,12,2024-02-21,0.444444444444444
394,5,2024-02-21,0.384615384615385
395,18,2024-02-21,0.5
396,12,2024-02-22,0.421052631578947
397,7,2024-02-22,0.555555555555556
398,11,2024-02-22,0.592592592592593
399,16,2024-02-22,0.619047619047619
400,15,2024-02-23,0.55
401,13,2024-02-23,0.538461538461538
402,15,2024-02-23,0.55
403,15,2024-02-23,0.55
404,2,2024-02-23,0.307692307692308
405,20,2024-02-23,0.4375
406,9,2024-02-23,0.421052631578947
407,2,2024-02-24,0.357142857142857
408,20,2024-02-24,0.470588235294118
409,2,2024-02-24,0.357142857142857
410,19,2024-02-24,0.470588235294118
411,10,2024-02-24,0.434782608695652
412,15,2024-02-24,0.478260869565217
413,12,2024-02-24,0.4
414,4,2024-02-24,0.571428571428571
415,9,2024-02-24,0.4
416,13,2024-02-25,0.555555555555556
417,1,2024-02-25,0.714285714285714
418,4,2024-02-25,0.533333333333333
419,18,2024-02-25,0.473684210526316
420,4,2024-02-25,0.533333333333333
421,6,2024-02-25,0.476190476190476
422,19,2024-02-25,0.444444444444444
423,4,2024-02-26,0.588235294117647
424,15,2024-02-26,0.458333333333333
425,17,2024-02-26,0.526315789473684
426,10,2024-02-26,0.458333333333333
427,16,2024-02-26,0.636363636363636
428,2,2024-02-26,0.375
429,5,2024-02-26,0.407407407407407
430,8,2024-02-27,0.789473684210526
431,7,2024-02-27,0.526315789473684
432,19,2024-02-27,0.421052631578947
433,10,2024-02-27,0.44
434,18,2024-02-27,0.5
435,3,2024-02-27,0.578947368421053
436,8,2024-02-27,0.789473684210526
437,11,2024-02-28,0.571428571428571
438,9,2024-02-28,0.380952380952381
439,17,2024-02-28,0.55
440,10,2024-02-28,0.423076923076923
441,17,2024-02-28,0.55
442,19,2024-02-28,0.4
443,1,2024-02-29,0.681818181818182
444,15,2024-02-29,0.48
445,4,2024-02-29,0.611111111111111
446,12,2024-02-29,0.380952380952381
447,15,2024-02-29,0.48
448,7,2024-02-29,0.5
449,13,2024-02-29,0.535714285714286
450,12,2024-03-01,0.409090909090909
451,19,2024-03-01,0.428571428571429
452,5,2024-03-01,0.428571428571429
453,8,2024-03-01,0.80952380952381
454,2,2024-03-01,0.352941176470588
455,12,2024-03-01,0.409090909090909
456,20,2024-03-01,0.444444444444444
457,3,2024-03-01,0.6
458,3,2024-03-02,0.571428571428571
459,10,2024-03-02,0.407407407407407
460,1,2024-03-02,0.695652173913043
461,2,2024-03-02,0.388888888888889
462,13,2024-03-02,0.551724137931034
463,13,2024-03-02,0.551724137931034
464,20,2024-03-03,0.473684210526316
465,10,2024-03-03,0.392857142857143
466,7,2024-03-03,0.523809523809524
467,20,2024-03-03,0.473684210526316
468,11,2024-03-03,0.586206896551724
469,5,2024-03-03,0.448275862068966
470,8,2024-03-03,0.772727272727273
471,3,2024-03-03,0.545454545454545
472,2,2024-03-03,0.368421052631579
473,20,2024-03-03,0.473684210526316
474,12,2024-03-03,0.458333333333333
475,20,2024-03-03,0.473684210526316
476,15,2024-03-04,0.481481481481481
477,14,2024-03-04,0.529411764705882
478,3,2024-03-04,0.565217391304348
479,1,2024-03-04,0.708333333333333
480,4,2024-03-04,0.578947368421053
481,17,2024-03-04,0.5
482,14,2024-03-04,0.529411764705882
483,6,2024-03-05,0.454545454545455
484,12,2024-03-05,0.44
485,8,2024-03-05,0.739130434782609
486,5,2024-03-05,0.466666666666667
487,6,2024-03-05,0.454545454545455
488,8,2024-03-05,0.739130434782609
489,4,2024-03-05,0.6
490,11,2024-03-05,0.6
491,20,2024-03-05,0.434782608695652
492,12,2024-03-05,0.44
493,12,2024-03-05,0.44
494,1,2024-03-05,0.72
495,17,2024-03-06,0.521739130434783
496,9,2024-03-06,0.409090909090909
497,15,2024-03-06,0.5
498,9,2024-03-06,0.409090909090909
499,12,2024-03-06,0.5
500,5,2024-03-06,0.483870967741935
501,10,2024-03-06,0.379310344827586
502,10,2024-03-06,0.379310344827586
503,16,2024-03-06,0.652173913043478
504,10,2024-03-06,0.379310344827586
505,6,2024-03-07,0.458333333333333
506,1,2024-03-07,0.730769230769231
507,14,2024-03-07,0.526315789473684
508,11,2024-03-07,0.612903225806452
509,17,2024-03-07,0.5
510,20,2024-03-07,0.458333333333333
511,16,2024-03-07,0.625
512,19,2024-03-07,0.409090909090909
513,12,2024-03-07,0.482758620689655
514,14,2024-03-08,0.55
515,15,2024-03-08,0.517241379310345
516,16,2024-03-08,0.64
517,14,2024-03-08,0.55
518,4,2024-03-09,0.571428571428571
519,11,2024-03-09,0.625
520,16,2024-03-09,0.653846153846154
521,16,2024-03-09,0.653846153846154
522,6,2024-03-09,0.44
523,16,2024-03-09,0.653846153846154
524,10,2024-03-09,0.40625
525,14,2024-03-09,0.545454545454545
526,19,2024-03-09,0.434782608695652
527,7,2024-03-09,0.5
528,4,2024-03-09,0.571428571428571
529,17,2024-03-09,0.48
530,13,2024-03-09,0.516129032258065
531,16,2024-03-09,0.653846153846154
532,5,2024-03-09,0.46875
533,4,2024-03-10,0.565217391304348
534,17,2024-03-10,0.461538461538462
535,16,2024-03-10,0.6
536,3,2024-03-10,0.541666666666667
537,1,2024-03-11,0.703703703703704
538,10,2024-03-11,0.393939393939394
539,13,2024-03-11,0.53125
540,19,2024-03-11,0.458333333333333
541,1,2024-03-11,0.703703703703704
542,15,2024-03-11,0.5
543,15,2024-03-11,0.5
544,10,2024-03-11,0.393939393939394
545,10,2024-03-12,0.371428571428571
546,7,2024-03-12,0.478260869565217
547,16,2024-03-12,0.612903225806452
548,2,2024-03-12,0.4
549,10,2024-03-12,0.371428571428571
550,5,2024-03-12,0.454545454545455
551,3,2024-03-12,0.56
552,19,2024-03-12,0.44
553,7,2024-03-12,0.478260869565217
554,1,2024-03-13,0.655172413793103
555,14,2024-03-13,0.565217391304348
556,4,2024-03-13,0.541666666666667
557,8,2024-03-13,0.76
558,18,2024-03-13,0.523809523809524
559,16,2024-03-13,0.625
560,6,2024-03-13,0.461538461538462
561,12,2024-03-13,0.5
562,5,2024-03-14,0.441176470588235
563,13,2024-03-14,0.515151515151515
564,9,2024-03-14,0.416666666666667
565,11,2024-03-14,0.606060606060606
566,3,2024-03-14,0.538461538461538
567,12,2024-03-14,0.516129032258065
568,19,2024-03-15,0.423076923076923
569,6,2024-03-15,0.444444444444444
570,18,2024-03-15,0.5
571,2,2024-03-15,0.380952380952381
572,18,2024-03-15,0.5
573,12,2024-03-15,0.5
574,2,2024-03-15,0.380952380952381
575,3,2024-03-15,0.555555555555556
576,15,2024-03-15,0.5
577,20,2024-03-15,0.48
578,20,2024-03-15,0.48
579,19,2024-03-16,0.444444444444444
580,17,2024-03-16,0.481481481481481
581,14,2024-03-16,0.541666666666667
582,6,2024-03-16,0.428571428571429
583,13,2024-03-16,0.529411764705882
584,17,2024-03-16,0.481481481481481
585,16,2024-03-16,0.636363636363636
586,18,2024-03-16,0.5
587,15,2024-03-16,0.515151515151515
588,14,2024-03-16,0.541666666666667
589,17,2024-03-16,0.481481481481481
590,17,2024-03-17,0.533333333333333
591,2,2024-03-17,0.391304347826087
592,7,2024-03-17,0.48
593,20,2024-03-17,0.518518518518518
594,16,2024-03-17,0.647058823529412
595,15,2024-03-17,0.529411764705882
596,15,2024-03-17,0.529411764705882
597,8,2024-03-18,0.730769230769231
598,19,2024-03-18,0.464285714285714
599,8,2024-03-18,0.730769230769231
600,2,2024-03-18,0.416666666666667
601,6,2024-03-18,0.413793103448276
602,19,2024-03-18,0.464285714285714
603,11,2024-03-18,0.588235294117647
604,20,2024-03-19,0.5
605,6,2024-03-19,0.4
606,2,2024-03-19,0.4
607,6,2024-03-19,0.4
608,8,2024-03-19,0.678571428571429
609,7,2024-03-19,0.461538461538462
610,14,2024-03-19,0.576923076923077
611,6,2024-03-20,0.40625
612,14,2024-03-20,0.555555555555556
613,4,2024-03-20,0.52
614,12,2024-03-20,0.484848484848485
615,17,2024-03-20,0.516129032258065
616,20,2024-03-20,0.482758620689655
617,3,2024-03-20,0.571428571428571
618,13,2024-03-20,0.542857142857143
619,6,2024-03-20,0.40625
620,10,2024-03-20,0.378378378378378
621,7,2024-03-20,0.481481481481481
622,17,2024-03-21,0.5
623,2,2024-03-21,0.384615384615385
624,17,2024-03-21,0.5
625,8,2024-03-21,0.689655172413793
626,6,2024-03-21,0.441176470588235
627,3,2024-03-21,0.586206896551724
628,7,2024-03-21,0.464285714285714
629,6,2024-03-21,0.441176470588235
630,2,2024-03-21,0.384615384615385
631,17,2024-03-21,0.5
632,4,2024-03-21,0.538461538461538
633,9,2024-03-22,0.4
634,16,2024-03-22,0.657142857142857
635,2,2024-03-22,0.392857142857143
636,16,2024-03-22,0.657142857142857
637,7,2024-03-22,0.448275862068966
638,14,2024-03-22,0.571428571428571
639,9,2024-03-22,0.4
640,19,2024-03-22,0.466666666666667
641,2,2024-03-22,0.392857142857143
642,14,2024-03-22,0.571428571428571
643,14,2024-03-22,0.571428571428571
644,20,2024-03-23,0.466666666666667
645,9,2024-03-23,0.37037037037037
646,20,2024-03-23,0.466666666666667
647,16,2024-03-23,0.648648648648649
648,16,2024-03-24,0.657894736842105
649,20,2024-03-24,0.46875
650,5,2024-03-24,0.457142857142857
651,3,2024-03-24,0.566666666666667
652,19,2024-03-24,0.483870967741935
653,14,2024-03-24,0.548387096774194
654,16,2024-03-24,0.657894736842105
655,8,2024-03-24,0.7
656,10,2024-03-24,0.368421052631579
657,12,2024-03-24,0.5
658,9,2024-03-25,0.392857142857143
659,8,2024-03-25,0.709677419354839
660,18,2024-03-25,0.48
661,1,2024-03-25,0.666666666666667
662,6,2024-03-25,0.472222222222222
663,3,2024-03-25,0.580645161290323
664,13,2024-03-25,0.527777777777778
665,11,2024-03-25,0.6
666,6,2024-03-25,0.472222222222222
667,5,2024-03-25,0.444444444444444
668,18,2024-03-26,0.461538461538462
669,4,2024-03-26,0.555555555555556
670,7,2024-03-26,0.433333333333333
671,12,2024-03-26,0.485714285714286
672,8,2024-03-26,0.6875
673,7,2024-03-26,0.433333333333333
674,14,2024-03-26,0.53125
675,3,2024-03-26,0.5625
676,20,2024-03-26,0.484848484848485
677,12,2024-03-27,0.5
678,6,2024-03-27,0.447368421052632
679,20,2024-03-27,0.470588235294118
680,14,2024-03-27,0.515151515151515
681,13,2024-03-27,0.513513513513513
682,15,2024-03-27,0.527777777777778
683,9,2024-03-27,0.413793103448276
684,9,2024-03-27,0.413793103448276
685,5,2024-03-27,0.459459459459459
686,20,2024-03-28,0.457142857142857
687,6,2024-03-28,0.435897435897436
688,5,2024-03-28,0.447368421052632
689,19,2024-03-28,0.5
690,17,2024-03-28,0.457142857142857
691,16,2024-03-29,0.65
692,18,2024-03-29,0.481481481481481
693,8,2024-03-29,0.696969696969697
694,2,2024-03-29,0.4
695,16,2024-03-29,0.65
696,5,2024-03-29,0.435897435897436
697,18,2024-03-29,0.481481481481481
698,3,2024-03-29,0.545454545454545
699,7,2024-03-29,0.40625
700,2,2024-03-30,0.387096774193548
701,12,2024-03-30,0.486486486486487
702,4,2024-03-30,0.571428571428571
703,13,2024-03-30,0.526315789473684
704,2,2024-03-30,0.387096774193548
705,1,2024-03-30,0.645161290322581
706,3,2024-03-30,0.558823529411765
707,4,2024-03-30,0.571428571428571
708,13,2024-03-30,0.526315789473684
709,15,2024-03-30,0.540540540540541
710,18,2024-03-30,0.482758620689655
711,20,2024-03-30,0.444444444444444
712,16,2024-03-31,0.619047619047619
713,10,2024-03-31,0.384615384615385
714,15,2024-03-31,0.526315789473684
715,9,2024-03-31,0.387096774193548
716,10,2024-03-31,0.384615384615385
717,18,2024-03-31,0.5
718,14,2024-03-31,0.529411764705882
719,18,2024-03-31,0.5
720,19,2024-03-31,0.515151515151515
721,13,2024-04-01,0.55
722,11,2024-04-01,0.583333333333333
723,18,2024-04-01,0.5
724,9,2024-04-01,0.375
725,6,2024-04-02,0.461538461538462
726,7,2024-04-02,0.4375
727,1,2024-04-02,0.645161290322581
728,5,2024-04-02,0.425
729,10,2024-04-02,0.414634146341463
730,20,2024-04-02,0.432432432432432
731,16,2024-04-03,0.595238095238095
732,15,2024-04-03,0.5
733,17,2024-04-04,0.428571428571429
734,17,2024-04-04,0.428571428571429
735,8,2024-04-05,0.65625
736,6,2024-04-05,0.487179487179487
737,10,2024-04-05,0.405405405405405
738,8,2024-04-05,0.65625
739,8,2024-04-05,0.65625
740,2,2024-04-05,0.40625
741,1,2024-04-05,0.65625
742,13,2024-04-06,0.538461538461538
743,5,2024-04-06,0.473684210526316
744,2,2024-04-06,0.393939393939394
745,17,2024-04-06,0.441176470588235
746,10,2024-04-06,0.421052631578947
747,8,2024-04-06,0.647058823529412
748,2,2024-04-06,0.393939393939394
749,12,2024-04-06,0.514285714285714
750,12,2024-04-06,0.514285714285714
751,6,2024-04-06,0.5
752,9,2024-04-07,0.387096774193548
753,11,2024-04-07,0.575757575757576
754,14,2024-04-07,0.514285714285714
755,15,2024-04-07,0.485714285714286
756,14,2024-04-07,0.514285714285714
757,9,2024-04-07,0.387096774193548
758,11,2024-04-07,0.575757575757576
759,2,2024-04-08,0.428571428571429
760,11,2024-04-08,0.588235294117647
761,2,2024-04-08,0.428571428571429
762,18,2024-04-08,0.517241379310345
